Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial(1);Modifc. (2);C. Definitivo (3);C Disponible (4);Re. Pte. Util.(5);C. Autorizado (6);C. Dispuesto (7);Obl. Reconoc. (8);C. Ordenado (9);Pagos Real (10)
;;001;002;23270;60900;2017/000889;2017/000889;DERECHOS HUMANOS Y MEMORIA HISTÓRICA. INTERVENCIONES CONMEMORATIVAS;998;VARIOS DISTRITOS;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;250000,00;250000,00;0,00;250000,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62301;2017/000310;2017/000310;SERVICIOS SECRETARÍA GENERAL DEL PLENO.INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10000,00;-9000,00;1000,00;7,80;0,00;992,20;992,20;992,20;0,00;278,30
;;001;002;91230;62500;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7000,00;0,00;7000,00;191,27;0,00;6808,73;6808,73;6808,73;0,00;6808,73
;;001;002;91230;62599;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2500,00;0,00;2500,00;1321,73;0,00;1178,27;1178,27;1178,27;0,00;215,11
;;001;002;91230;62601;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;21779,00;-7000,00;14779,00;2095,62;8000,00;4683,38;4683,38;4683,38;0,00;4683,38
;;001;002;91240;62301;2017/000309;2017/000309;SERVICIOS GRUPOS POLÍTICOS MUNICIPALES. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;2149,29;0,00;2850,71;2850,71;2850,71;0,00;0,00
;;001;002;91240;62500;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;17800,00;5900,00;23700,00;3346,19;0,00;20353,81;20353,81;20353,78;0,00;20353,78
;;001;002;91240;62599;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2500,00;27400,00;29900,00;4519,90;0,00;25380,10;25380,10;25380,10;0,00;25380,10
;;001;002;91240;62601;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;86000,00;0,00;86000,00;5963,01;23210,73;56826,26;56826,26;56826,26;0,00;56826,26
;;001;012;46200;62301;2017/000246;2017/000246;SERVICIOS INNOVACIÓN Y PROMOCIÓN DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;600000,00;-714,90;599285,10;506000,00;0,00;93285,10;93285,10;93285,10;0,00;71377,90
