Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo ;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;002;23270;60900;2018/000536;2018/000536;MEMORIALES ESCULTÓRICO-ARQUITECTÓNICOS EN LUGARES DE MEMORIA Y ESPACIO PÚBLICO;998;VARIOS DISTRITOS;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;279800,00;279800,00;279800,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;23270;60900;2018/000536;2018/010536;"ESCULTURA ""EL MADRILES"". ADQUISICIÓN REPRODUCCIÓN EN BRONCE";201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;90200,00;90200,00;0,00;0,00;90200,00;0,00;0,00;0,00;0,00
;;001;002;23270;64001;2018/001004;2018/001004;"DERECHOS REPRODUCCIÓN FOTOGRAFÍAS ""MADRID QUE BIEN RESISTES"". PROPIEDAD INTELECTUAL";998;VARIOS DISTRITOS;10;CULTURA;02;MUSEOS Y COLECCIONES;;;;;;;0,00;5500,00;5500,00;5500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62301;2018/002000;2018/002000;PRÓRROGA CRÉDITO 001002/91230/62301/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10000,00;0,00;10000,00;10000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62500;2018/002001;2018/002001;PRÓRROGA CRÉDITO 001002/91230/62500/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7000,00;0,00;7000,00;7000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62599;2018/002002;2018/002002;PRÓRROGA CRÉDITO 001002/91230/62599/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2500,00;0,00;2500,00;2500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62601;2018/002003;2018/002003;PRÓRROGA CRÉDITO 001002/91230/62601/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;21779,00;0,00;21779,00;0,00;21779,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91240;62301;2018/002004;2018/002004;PRÓRROGA CRÉDITO 001002/91240/62301/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91240;62500;2018/002005;2018/002005;PRÓRROGA CRÉDITO 001002/91240/62500/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;17800,00;0,00;17800,00;17800,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91240;62599;2018/002006;2018/002006;PRÓRROGA CRÉDITO 001002/91240/62599/;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2500,00;0,00;2500,00;2500,00;0,00;0,00;0,00;0,00;0,00;0,00
