Fondo;Descripci¢n;Centro;Secci¢n;Programa;Subconcepto;Programa de Financiaci¢n;Definici¢n proyecto;T°tulo;Distrito;Texto Distrito;L°nea Inversi¢n;Descripci¢n L°nea de Inversi¢n;Subl°ne de Inversi¢n;Descripci¢n Subl°ne de Inversi¢n;Etiqueta 16;Descripci¢n etiqueta 16;Etiqueta 17;Descripci¢n etiqueta 17;Etiqueta 18;Descripci¢n etiqueta 18;Cred. Inicial(1);Modifc. (2);C. Definitivo (3);C Disponible (4);Re. Pte. Util.(5);C. Autorizado (6);C. Dispuesto (7);Obl. Reconoc. (8);C. Ordenado (9);Pagos Real (10)
;;001;002;23270;60900;2018/000536;2018/000536;MEMORIALES ESCULT‡RICO-ARQUITECT‡NICOS EN LUGARES DE MEMORIA Y ESPACIO PÈBLICO;998;VARIOS DISTRITOS;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;90200,00;-90200,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;23270;60900;2018/000536;2018/010536;"ESCULTURA ""EL MADRILES"". ADQUISICI‡N REPRODUCCI‡N EN BRONCE";201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;90200,00;90200,00;0,00;0,00;90200,00;90200,00;0,00;0,00;0,00
;;001;002;33601;60900;2018/006723;2018/006723;IFS - INTERVENCI‡N ESCULT‡RICA EN EL CEMENTERIO DE LA ALMUDENA. MEMORIA HIST‡RICA;215;CIUDAD LINEAL;10;CULTURA;06;ESTATUAS Y MONUMENTOS;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;552790,00;552790,00;552790,00;0,00;0,00;0,00;0,00;0,00;0,00
4;SC Y CE FINANC. CON RTG;001;002;33601;60900;2018/006611;2018/006611;IFS - MEMORIAL DEPORTADOS MADRILE•OS/AS;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;16;INV.FINANCIERAM. SOSTENIBLE;;;;;0,00;285000,00;285000,00;285000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62500;2018/000342;2018/000342;EQUIPAMIENTO SERVICIOS SECRETAR÷A GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;12000,00;0,00;12000,00;6543,26;0,00;5456,74;5456,74;0,00;0,00;0,00
;;001;002;91230;62599;2018/000342;2018/000342;EQUIPAMIENTO SERVICIOS SECRETAR÷A GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2500,00;0,00;2500,00;2500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62901;2018/000582;2018/000582;SERVICIOS SECRETAR÷A GENERAL DEL PLENO. SE•ALIZACI‡N;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91240;62500;2018/000346;2018/000346;EQUIPAMIENTO SERVICIOS GRUPOS POL÷TICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;45000,00;0,00;45000,00;38852,59;0,00;6147,41;6147,41;0,00;0,00;0,00
;;001;002;91240;62599;2018/000346;2018/000346;EQUIPAMIENTO SERVICIOS GRUPOS POL÷TICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91240;62901;2018/000583;2018/000583;SERVICIOS GRUPOS POL÷TICOS. SE•ALIZACI‡N;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARµCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
