Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Definición proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc.;C. Definitivo;C Disponible;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;002;23270;60900;2019/000366;2019/000366; MEMORIAL A LAS PERSONAS FUSILADAS Y EJECUTADAS POR LA DICTADURA MILITAR EN MADRID;215;CIUDAD LINEAL;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;335000,00;335000,00;326442,88;0,00;8557,12;8557,12;8557,12;0,00;8557,12
;;001;002;23270;60900;2019/000448;2019/000448; MEMORIAL A HOMBRES Y MUJERES DE MADRID DEPORTADOS A CAMPOS CONCENTRACIÓN NAZIS;201;CENTRO;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;300000,00;300000,00;300000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91216;60900;2019/000249;2019/000249; CUADROS Y PLACAS DE ALCALDES DE MADRID EN PLAZA DE LA VILLA, 4;201;CENTRO;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;;;;;;;40000,00;0,00;40000,00;40000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62500;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;6000,00;0,00;6000,00;6000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62599;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;4300,92;0,00;699,08;699,08;699,08;0,00;699,08
;;001;002;91230;62601;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;500,00;0,00;500,00;500,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;63600;2019/000244;2019/000244; EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;110000,00;0,00;110000,00;13882,44;0,00;96117,56;5367,56;0,00;0,00;0,00
;;001;002;91240;62500;2019/000247;2019/000247; EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;20000,00;0,00;20000,00;20000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91240;62599;2019/000247;2019/000247; EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7000,00;0,00;7000,00;7000,00;0,00;0,00;0,00;0,00;0,00;0,00
2;INCORPORACIONES REMANENTES VOLUNTARIAS;001;003;92222;62500;2018/001105;2018/001105; EQUIPAMIENTO OFICINA CONTRA EL FRAUDE Y LA CORRUPCIÓN;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;5675,05;5675,05;0,00;0,00;5675,05;5675,05;0,00;0,00;0,00
