#Centro,Descripcion Centro,Seccion,Descripcion Seccion,Programa,Descripcion Programa,Capitulo,Descripcion Capitulo,Economico,Descripcion Economico,CRED_INICIAL,MOD_CREDITO,C_DEFINITIVO,C_AUTORIZADO,C_DISPUESTO,OBL_RECONOC
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,11000,RETRIBUCIONES BÁSICAS,29946,0,29946,6720.92,6720.92,6720.92
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,11001,RETRIBUCIONES COMPLEMENTARIAS,95574,0,95574,20277.1,20277.1,20277.1
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12004,SUELDOS DEL GRUPO C2,18632,0,18632,3631.52,3631.52,3631.52
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12006,TRIENIOS,5107,0,5107,1084.8,1084.8,1084.8
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12100,COMPLEMENTO DE DESTINO,10957,0,10957,2324.4,2324.4,2324.4
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12101,COMPLEMENTO ESPECÍFICO,26664,0,26664,5656.98,5656.98,5656.98
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,12103,OTROS COMPLEMENTOS,2458,0,2458,520.96,520.96,520.96
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,15000,PRODUCTIVIDAD,8956,0,8956,2216.48,2216.48,2216.48
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,1,GASTOS DE PERSONAL,16000,SEGURIDAD SOCIAL,46129,0,46129,11607.35,11607.35,11607.35
1,AYUNTAMIENTO DE MADRID,2,PLENO,91216,PRESIDENCIA DEL PLENO,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,4905,0,4905,0,0,0
