#Centro,Descripcion Centro,Capitulo,Descripcion Capitulo,Economico,Descripcion Economico,Importe
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,10000,IMPUESTO SOBRE LA RENTA DE LAS PERSONAS FÍSICAS,117171788
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,11200,IMPUESTO S/BIENES INMUEBLES DE NATURALEZA RÚSTICA,612531
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,11300,IMPUESTO S/ BIENES INMUEBLES DE NATURALEZA URBANA,1345255611
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,11400,IMPUESTO S/ BIENES INMUEBLES CARACTER. ESPECIALES,51253331
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,11500,IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECÁNICA,133521493
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,11600,IMPUESTO S/ EL INCREMENTO DE VALOR DE LOS TERRENOS,644331982
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,13000,ACTIVIDADES EMPRESARIALES,129907197
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,13001,ACTIVIDADES PROFESIONALES Y ARTÍSTICAS,548
001,AYUNTAMIENTO DE MADRID,1,IMPUESTOS DIRECTOS,18900,IMPUESTOS DIRECTOS EXTINGUIDOS,21574
001,AYUNTAMIENTO DE MADRID,2,IMPUESTOS INDIRECTOS,21000,IMPUESTO SOBRE EL VALOR AÑADIDO,57465029
001,AYUNTAMIENTO DE MADRID,2,IMPUESTOS INDIRECTOS,22000,IMPUESTO SOBRE EL ALCOHOL Y BEBIDAS DERIVADAS,791037
001,AYUNTAMIENTO DE MADRID,2,IMPUESTOS INDIRECTOS,22001,IMPUESTO SOBRE LA CERVEZA,298828
001,AYUNTAMIENTO DE MADRID,2,IMPUESTOS INDIRECTOS,22003,IMPUESTO SOBRE LABORES DE TABACO,7301912
001,AYUNTAMIENTO DE MADRID,2,IMPUESTOS INDIRECTOS,22004,IMPUESTO SOBRE HIDROCARBUROS,7331922
001,AYUNTAMIENTO DE MADRID,2,IMPUESTOS INDIRECTOS,22006,IMPUESTO SOBRE PRODUCTOS INTERMEDIOS,17339
001,AYUNTAMIENTO DE MADRID,2,IMPUESTOS INDIRECTOS,29000,"IMPUESTO S/CONSTRUCCIONES, INSTALAC. Y OBRAS",64388069
001,AYUNTAMIENTO DE MADRID,2,IMPUESTOS INDIRECTOS,29100,IMPUESTO COTOS DE CAZA Y PESCA,350
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30200,RETIRADA CONTENEDORES DE LA VÍA PÚBLICA,30000
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30300,TASA POR GESTIÓN DE RESIDUOS,38175762
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30301,VERTEDERO,1048350
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30302,RECOGIDA DE DESECHOS E INCINERACIÓN,82601
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30503,CASAS DE BAÑO,37885
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30600,MANTENIMIENTO DEL SERVICIO DE BOMBEROS,16000000
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30900,BOLETIN AYUNTAMIENTO DE MADRID,3000
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30901,CENTRO MUNICIPAL DE ACÚSTICA,5000
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30903,"COPIAS, FOTOCOPIAS Y FOTOGRAFÍAS",68324
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30904,GALERIAS MUNICIPALES DE SERVICIOS,1499468
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",30905,DERECHOS DE EXAMEN,396600
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",31100,SERVICIOS SANITARIOS,1100000
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",31600,PLANETARIO DE MADRID,300000
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",31900,MATRIMONIOS CIVILES,167305
001,AYUNTAMIENTO DE MADRID,3,"TASAS, PRECIOS PÚBLICOS Y OTROS INGRESOS",31999,OTRAS TASAS POR PREST. SERV.  CARÁCTER PREFERENTE,25200
