Fondo;Descripción;Centro;Sección;Programa;Subconcepto;Programa de Financiación;Código proyecto;Título;Distrito;Texto Distrito;Línea Inversión;Descripción Línea de Inversión;Sublíne de Inversión;Descripción Sublíne de Inversión;Etiqueta 16;Descripción etiqueta 16;Etiqueta 17;Descripción etiqueta 17;Etiqueta 18;Descripción etiqueta 18;Cred. Inicial;Modifc. ;C. Definitivo;C Disponible ;Re. Pte. Util.;C. Autorizado;C. Dispuesto;Obl. Reconoc.;C. Ordenado;Pagos Real
;;001;002;91230;62500;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;7000,00;0,00;7000,00;191,27;0,00;6808,73;6808,73;0,00;0,00;0,00
;;001;002;91230;62599;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2500,00;0,00;2500,00;2284,89;0,00;215,11;215,11;215,11;0,00;215,11
;;001;002;91230;62601;2017/000165;2017/000165;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;21779,00;0,00;21779,00;17095,62;0,00;4683,38;4683,38;4683,38;0,00;4683,38
;;001;002;91240;62500;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;17800,00;5900,00;23700,00;3346,19;0,00;20353,81;20353,81;9104,49;0,00;9104,49
;;001;002;91240;62599;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;2500,00;27400,00;29900,00;4519,90;0,00;25380,10;25380,10;187,17;0,00;187,17
;;001;002;91240;62601;2017/000166;2017/000166;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS MUNICIPALES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;86000,00;0,00;86000,00;5963,01;23210,73;56826,26;56826,26;0,00;0,00;0,00
;;001;002;91240;62301;2017/000309;2017/000309;SERVICIOS GRUPOS POLÍTICOS MUNICIPALES. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;5000,00;0,00;5000,00;5000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;91230;62301;2017/000310;2017/000310;SERVICIOS SECRETARÍA GENERAL DEL PLENO.INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;10000,00;0,00;10000,00;10000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;002;23270;60900;2017/000889;2017/000889;DERECHOS HUMANOS Y MEMORIA HISTÓRICA. INTERVENCIONES CONMEMORATIVAS;998;VARIOS DISTRITOS;10;CULTURA;06;ESTATUAS Y MONUMENTOS;;;;;;;0,00;250000,00;250000,00;250000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;012;46200;62301;2017/000246;2017/000246;SERVICIOS INNOVACIÓN Y PROMOCIÓN DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;600000,00;0,00;600000,00;528622,10;0,00;71377,90;71377,90;52320,40;0,00;52320,40
;;001;012;46200;62500;2017/000250;2017/000250;EQUIPAMIENTO SERVICIOS INNOVACIÓN ABIERTA LA N@VE;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;;;;;;;350000,00;0,00;350000,00;350000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;012;46200;62599;2017/000250;2017/000250;EQUIPAMIENTO SERVICIOS INNOVACIÓN ABIERTA LA N@VE;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;;;;;;;0,00;50000,00;50000,00;34271,81;0,00;15728,19;15728,19;15728,19;0,00;15728,19
;;001;012;46200;63599;2017/000250;2017/000250;EQUIPAMIENTO SERVICIOS INNOVACIÓN ABIERTA LA N@VE;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;;;;;;;0,00;10000,00;10000,00;2190,56;0,00;7809,44;7809,44;7809,44;0,00;7809,44
;;001;012;46200;63200;2017/000252;2017/000252;CENTRO DE INNOVACIÓN LA N@VE. OBRAS DE MEJORA Y TRABAJOS DE JARDINERÍA;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;;;;;;;200000,00;-60000,00;140000,00;140000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;012;46200;64099;2017/000256;2017/000256;TECNOLOGÍA INNOVADORA Y PRECOMERCIAL. ADQUISICIÓN;998;VARIOS DISTRITOS;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;;;;;;;3300000,00;-895000,00;2405000,00;2405000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;012;46200;62600;2017/000352;2017/000352;CENTRO DE INNOVACIÓN LA N@VE. EQUIPOS DE COMUNICACIÓN;217;VILLAVERDE;13;OTROS BIENES PÚBLICOS DE CARÁCTER ECONÓMICO;03;INVESTIGACIÓN, INNOVACIÓN Y DESARROLLO;;;;;;;250000,00;0,00;250000,00;104218,91;0,00;145781,09;145781,09;0,00;0,00;0,00
;;001;016;92000;63301;2016/000726;2016/000726;SERVICIOS ADMINISTRATIVOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;36479,56;36479,56;0,00;0,00;36479,56;36479,56;0,00;0,00;0,00
;;001;016;92000;63301;2016/000774;2016/000774;PABELLÓN JARDINES CECILIO RODRÍGUEZ. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;3453,00;3453,00;0,37;0,00;3452,63;3452,63;3452,63;0,00;3452,63
;;001;016;92000;62300;2017/000221;2017/000221;EQUIPAMIENTO SERVICIOS GERENCIA DE LA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1000,00;0,00;1000,00;1000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;016;92000;62302;2017/000221;2017/000221;EQUIPAMIENTO SERVICIOS GERENCIA DE LA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;1000,00;30000,00;31000,00;24513,19;0,00;6486,81;6486,81;6486,81;0,00;6486,81
;;001;016;92000;62500;2017/000221;2017/000221;EQUIPAMIENTO SERVICIOS GERENCIA DE LA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;30000,00;0,00;30000,00;30000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;016;92000;62599;2017/000221;2017/000221;EQUIPAMIENTO SERVICIOS GERENCIA DE LA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;18000,00;40000,00;58000,00;54129,79;0,00;3870,21;3870,21;3870,21;0,00;3870,21
;;001;016;92000;62301;2017/000227;2017/000227;SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;80000,00;0,00;80000,00;20000,00;60000,00;0,00;0,00;0,00;0,00;0,00
;;001;016;92000;63301;2017/000227;2017/000227;SERVICIOS GERENCIA DE LA CIUDAD. INSTALACIONES;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;350000,00;-161932,56;188067,44;115420,44;0,00;72647,00;10284,14;1482,25;0,00;1482,25
;;001;016;92000;62400;2017/000231;2017/000231;ELEMENTOS TRANSPORTE SERVICIOS GERENCIA DE LA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;25000,00;0,00;25000,00;0,00;25000,00;0,00;0,00;0,00;0,00;0,00
;;001;016;92000;62901;2017/000232;2017/000232;SEÑALÉTICA EDIFICIOS GERENCIA DE LA CIUDAD;999;NO DISTRITALIZABLE;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;3000,00;0,00;3000,00;3000,00;0,00;0,00;0,00;0,00;0,00;0,00
;;001;016;92000;63200;2017/000698;2017/000698;EDIFICIO PLAZA DE LA VILLA, 5. ADECUACIÓN ACOMETIDA AGUA;201;CENTRO;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;;;;;;;0,00;2000,00;2000,00;320,86;0,00;1679,14;1679,14;1679,14;0,00;1679,14
;;001;027;32301;63999;2016/000371;2016/010371;ESCUELA INFANTIL AMANECER. MATERIAL DIDÁCTICO;219;VICALVARO;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;159,72;159,72;0,00;0,00;159,72;159,72;0,00;0,00;0,00
;;001;027;32301;62999;2016/000371;2016/020371;ESCUELA INFANTIL CAMPANILLA. MATERIAL DIDÁCTICO;206;TETUAN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;543,48;543,48;0,00;0,00;543,48;543,48;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/020371;ESCUELA INFANTIL CAMPANILLA. MATERIAL DIDÁCTICO;206;TETUAN;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;537,99;537,99;0,00;0,00;537,99;537,99;0,00;0,00;0,00
;;001;027;32301;62999;2016/000371;2016/030371;ESCUELA INFANTIL EL ALBA. MATERIAL DIDÁCTICO;202;ARGANZUELA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;432,77;432,77;0,00;0,00;432,77;432,77;0,00;0,00;0,00
;;001;027;32301;63999;2016/000371;2016/030371;ESCUELA INFANTIL EL ALBA. MATERIAL DIDÁCTICO;202;ARGANZUELA;05;EDUCACIÓN;01;ESCUELAS INFANTILES;;;;;;;0,00;513,03;513,03;0,00;0,00;513,03;513,03;0,00;0,00;0,00
