INVERSIONES 2019 AYUNTAMIENTO DE MADRID Y ORGANISMOS AUTÓNOMOS. (VERSIÓN 40);;;;;;;;;;;
;;;;;;;;;;;
Programa de financiación;Título;Ce.gestor;Funcional;Económico;Impte.mon.ent.CP;LI;Descripción Línea de Inversión;SL;Descripción Sublínea de Inversión;Distrito;Descripción
2019/000249;CUADROS Y PLACAS DE ALCALDES DE MADRID EN PLAZA DE LA VILLA, 4;001002;91216;60900;40.000,00;10;CULTURA;05;PROMOCIÓN DE LA CULTURA;201;CENTRO
2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;001002;91230;62500;6.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;001002;91230;62599;5.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;001002;91230;62601;500;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000244;EQUIPAMIENTO SERVICIOS SECRETARÍA GENERAL DEL PLENO;001002;91230;63600;110.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000247;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;001002;91240;62500;20.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000247;EQUIPAMIENTO SERVICIOS GRUPOS POLÍTICOS;001002;91240;62599;7.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000027;SERVICIOS GERENCIA DE LA CIUDAD. FURGONETAS DIVISION DE MONTAJES;001016;92000;62400;85.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000029;SERVICIOS GERENCIA DE LA CIUDAD. MOBILIARIO OFICINAS;001016;92000;62500;5.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
2019/000024;SERVICIOS GERENCIA DE LA CIUDAD. ELEMENTOS AUDIOVISUALES;001016;92000;62599;15.000,00;00;INVERSIONES DE CARÁCTER GENERAL;01;SERVICIOS ADMINISTRATIVOS CENTRALES;999;NO DISTRITALIZABLE
